"","Pos","LW","Weeks","Song","Artist","hit_week"
"1","1","New","1","I Need You","Rick Nelson",1965-06-04
"2","2","New","1","Ticket To Ride","Beatles",1965-06-04
"3","3","New","1","Key To Your Heart","Emil Dean",1965-06-04
"4","4","New","1","Torture","Gene Rockwell",1965-06-04
"5","5","New","1","I Know A Place","Petula Clark",1965-06-04
"6","6","New","1","Under The Boardwalk","Rolling Stones",1965-06-04
"7","7","New","1","Lovely Lovely","Chubby Checker",1965-06-04
"8","8","New","1","Minute You’re Gone","Cliff Richard",1965-06-04
"9","9","New","1","Tired Of Waiting For You","Kinks",1965-06-04
"10","10","New","1","Forget Domani","Connie Francis",1965-06-04
"11","11","New","1","Funny How Love Can Be","Ivy League",1965-06-04
"12","12","New","1","Shabby Little Hut","Bats",1965-06-04
"13","13","New","1","Do What You Do Do Well","Ned Miller",1965-06-04
"14","14","New","1","Last Time","Rolling Stones",1965-06-04
"15","15","New","1","Do The Clam","Elvis Presley",1965-06-04
"16","16","New","1","I’ll Never Find Another You","Seekers",1965-06-04
"17","17","New","1","Tennessee Yodel Polka","Slim Whitman",1965-06-04
"18","18","New","1","Just Another Guy","Cliff Richard",1965-06-04
"19","19","New","1","Game Of Love","Wayne Fontana And The Mindbenders",1965-06-04
"20","20","New","1","Mrs Brown You’ve Got A Lovely Daughter","Herman’s Hermits",1965-06-04
"21","1","1","2","I Need You","Rick Nelson",1965-06-11
"22","2","6","2","Under the Boardwalk","Rolling Stones",1965-06-11
"23","3","10","2","Forget Domani","Connie Francis",1965-06-11
"24","4","2","2","Ticket to Ride","Beatles",1965-06-11
"25","5","15","2","Do the Clam","Elvis Presley",1965-06-11
"26","6","4","2","Torture","Gene Rockwell",1965-06-11
"27","7","12","2","Shabby Little Hut","Bats",1965-06-11
"28","8","5","2","I Know a Place","Petula Clark",1965-06-11
"29","9","11","2","Funny How Love Can Be","Ivy League",1965-06-11
"30","10","3","2","Key to Your Heart","Emil Dean",1965-06-11
"31","11","14","2","The Last Time","Rolling Stones",1965-06-11
"32","12","7","2","Lovely Lovely (Loverly Loverly)","Chubby Checker",1965-06-11
"33","13","8","2","The Minute You’re Gone","Cliff Richard",1965-06-11
"34","14","17","2","Tennessee Yodel Polka","Slim Whitman & Virginia Lee",1965-06-11
"35","15","9","2","Tired of Waiting for You","Kinks",1965-06-11
"36","16","20","2","Mrs Brown You’ve Got a Lovely Daughter","Herman’s Hermits",1965-06-11
"37","17","12","2","Do What You Do Do Well","Ned Miller",1965-06-11
"38","18","New","1","It’s Not Unusual","Tom Jones",1965-06-11
"39","19","New","1","Concrete and Clay","Eddie Rambeau",1965-06-11
"40","20","New","1","Catch the Wind","Donovan",1965-06-11
"41","1","3","3","Forget Domani","Connie Francis",1965-06-18
"42","2","1","3","I Need You","Rick Nelson",1965-06-18
"43","3","5","3","Do the Clam","Elvis Presley",1965-06-18
"44","4","2","3","Under the Boardwalk","Rolling Stones",1965-06-18
"45","5","7","3","Shabby Little Hut","Bats",1965-06-18
"46","6","4","3","Ticket to Ride","Beatles",1965-06-18
"47","7","11","3","The Last Time","Rolling Stones",1965-06-18
"48","8","14","3","Tennessee Yodel Polka","Slim Whitman & Virginia Lee",1965-06-18
"49","9","16","3","Mrs Brown You’ve Got a Lovely Daughter","Herman’s Hermits",1965-06-18
"50","10","8","3","I Know a Place","Petula Clark",1965-06-18
"51","11","6","3","Torture","Gene Rockwell",1965-06-18
"52","12","18","2","It’s Not Unusual","Tom Jones",1965-06-18
"53","13","9","3","Funny How Love Can Be","Ivy League",1965-06-18
"54","14","20","2","Catch the Wind","Donovan",1965-06-18
"55","15","New","1","Concrete and Clay","Unit Four Plus Two",1965-06-18
"56","16","13","3","The Minute You’re Gone","Cliff Richard",1965-06-18
"57","17","12","3","Lovely Lovely (Loverly Loverly)","Chubby Checker",1965-06-18
"58","18","10","3","Key to Your Heart","Emil Dean",1965-06-18
"59","19","New","1","Where are You Now","Jackie Trent",1965-06-18
"60","20","New","1","World of Our Own","Seekers",1965-06-18
"61","1","3","4","Do the Clam","Elvis Presley",1965-06-25
"62","2","1","4","Forget Domani","Connie Francis",1965-06-25
"63","3","5","4","Shabby Little Hut","Bats",1965-06-25
"64","4","4","4","Under the Boardwalk","Rolling Stones",1965-06-25
"65","5","2","4","I Need You","Rick Nelson",1965-06-25
"66","6","9","4","Mrs Brown You’ve Got a Lovely Daughter","Herman’s Hermits",1965-06-25
"67","7","7","4","The Last Time","Rolling Stones",1965-06-25
"68","8","8","4","Tennessee Yodel Polka","Slim Whitman & Virginia Lee",1965-06-25
"69","9","6","4","Ticket to Ride","Beatles",1965-06-25
"70","10","12","3","It’s Not Unusual","Tom Jones",1965-06-25
"71","11","14","3","Catch the Wind","Donovan",1965-06-25
"72","12","15","2","Concrete and Clay","Unit Four Plus Two",1965-06-25
"73","13","19","2","Where Are You Now","Jackie Trent",1965-06-25
"74","14","20","2","World of Our Own","Seekers",1965-06-25
"75","15","11","4","Torture","Gene Rockwell",1965-06-25
"76","16","10","4","I Know a Place","Petula Clark",1965-06-25
"77","17","13","4","Funny How Love Can Be","Ivy League",1965-06-25
"78","18","New","1","Long Live Love","Sandie Shaw",1965-06-25
"79","19","17","4","Lovely Lovely (Loverly Loverly)","Chubby Checker",1965-06-25
"80","20","16","4","The Minute You’re Gone","Cliff Richard",1965-06-25
"81","1","4","5","Under the Boardwalk","Rolling Stones",1965-07-02
"82","2","6","5","Mrs Brown You’ve Got a Lovely Daughter","Herman’s Hermits",1965-07-02
"83","3","1","5","Do the Clam","Elvis Presley",1965-07-02
"84","4","3","5","Shabby Little Hut","Bats",1965-07-02
"85","5","2","5","Forget Domani","Connie Francis",1965-07-02
"86","6","5","5","I Need You","Rick Nelson",1965-07-02
"87","7","10","4","It’s Not Unusual","Tom Jones",1965-07-02
"88","8","11","4","Catch the Wind","Donovan",1965-07-02
"89","9","8","5","Tennessee Yodel Polka","Slim Whitman & Virginia Lee",1965-07-02
"90","10","14","3","World of Our Own","Seekers",1965-07-02
"91","11","12","3","Concrete and Clay","Unit Four Plus Two",1965-07-02
"92","12","13","3","Where Are You Now","Jackie Trent",1965-07-02
"93","13","7","5","The Last Time","Rolling Stones",1965-07-02
"94","14","9","5","Ticket to Ride","Beatles",1965-07-02
"95","15","18","2","Long Live Love","Sandie Shaw",1965-07-02
"96","16","New","1","Little Lonely One","Tom Jones",1965-07-02
"97","17","New","1","Wonderful World","Herman’s Hermits",1965-07-02
"98","18","17","5","Funny How Love Can Be","Ivy League",1965-07-02
"99","19","15","5","Torture","Gene Rockwell",1965-07-02
"100","20","16","5","I Know a Place","Petula Clark",1965-07-02
"101","1","2","6","Mrs Brown You’ve Got a Lovely Daughter","Herman’s Hermits",1965-07-09
"102","2","1","6","Under the Boardwalk","Rolling Stones",1965-07-09
"103","3","3","6","Do the Clam","Elvis Presley",1965-07-09
"104","4","7","5","It’s Not Unusual","Tom Jones",1965-07-09
"105","5","8","5","Catch the Wind","Donovan",1965-07-09
"106","6","6","6","I Need You","Rick Nelson",1965-07-09
"107","7","10","4","World of Our Own","Seekers",1965-07-09
"108","8","11","4","Concrete and Clay","Unit Four Plus Two",1965-07-09
"109","9","4","6","Shabby Little Hut","Bats",1965-07-09
"110","10","5","6","Forget Domani","Connie Francis",1965-07-09
"111","11","17","2","Wonderful World","Herman’s Hermits",1965-07-09
"112","12","12","4","Where Are You Now","Jackie Trent",1965-07-09
"113","13","15","3","Long Live Love","Sandie Shaw",1965-07-09
"114","14","16","2","Little Lonely One","Tom Jones",1965-07-09
"115","15","9","6","Tennessee Yodel Polka","Slim Whitman & Virginia Lee",1965-07-09
"116","16","14","6","Ticket to Ride","Beatles",1965-07-09
"117","17","13","6","The Last Time","Rolling Stones",1965-07-09
"118","18","New","1","Crying In The Chapel","Elvis Presley",1965-07-09
"119","19","New","1","Here Comes the Night","Them",1965-07-09
"120","20","New","1","Oh No Not My Baby","Manfred Mann",1965-07-09
"121","1","4","6","It’s Not Unusual","Tom Jones",1965-07-16
"122","2","2","7","Under the Boardwalk","Rolling Stones",1965-07-16
"123","3","1","7","Mrs Brown You’ve Got a Lovely Daughter","Herman’s Hermits",1965-07-16
"124","4","6","7","I Need You","Rick Nelson",1965-07-16
"125","5","5","6","Catch the Wind","Donovan",1965-07-16
"126","6","7","5","World of Our Own","Seekers",1965-07-16
"127","7","3","7","Do the Clam","Elvis Presley",1965-07-16
"128","8","8","5","Concrete and Clay","Unit Four Plus Two",1965-07-16
"129","9","13","4","Long Live Love","Sandie Shaw",1965-07-16
"130","10","11","3","Wonderful World","Herman’s Hermits",1965-07-16
"131","11","18","2","Crying In The Chapel","Elvis Presley",1965-07-16
"132","12","14","3","Little Lonely One","Tom Jones",1965-07-16
"133","13","19","2","Here Comes the Night","Them",1965-07-16
"134","14","9","7","Shabby Little Hut","Bats",1965-07-16
"135","15","12","5","Where Are You Now","Jackie Trent",1965-07-16
"136","16","10","7","Forget Domani","Connie Francis",1965-07-16
"137","17","16","7","Ticket to Ride","Beatles",1965-07-16
"138","18","New","1","Tea and Trumpets","Norman Ruby Orchestra",1965-07-16
"139","19","15","7","Tennessee Yodel Polka","Slim Whitman & Virginia Lee",1965-07-16
"140","20","20","2","Oh No Not My Baby","Manfred Mann",1965-07-16
"141","1","1","7","It’s Not Unusual","Tom Jones",1965-07-23
"142","2","4","8","I Need You","Rick Nelson",1965-07-23
"143","3","2","8","Under The Boardwalk","Rolling Stones",1965-07-23
"144","4","6","6","World Of Our Own","Seekers",1965-07-23
"145","5","9","5","Long Live Love","Sandie Shaw",1965-07-23
"146","6","5","7","Catch The Wind","Donovan",1965-07-23
"147","7","3","8","Mrs Brown You’ve Got A Lovely Daughter","Herman’s Hermits",1965-07-23
"148","8","11","3","Crying In The Chapel","Elvis Presley",1965-07-23
"149","9","10","4","Wonderful World","Herman’s Hermits",1965-07-23
"150","10","7","8","Do The Clam","Elvis Presley",1965-07-23
"151","11","12","4","Little Lonely One","Tom Jones",1965-07-23
"152","12","13","3","Here Comes The Night","Them",1965-07-23
"153","13","8","6","Concrete And Clay","Unit Four Plus Two",1965-07-23
"154","14","18","2","Tea And Trumpets","Norman Ruby Orchestra",1965-07-23
"155","15","New","1","Wooly Bully","Sam The Sham And The Pharaohs",1965-07-23
"156","16","15","6","Where Are You Now","Jackie Trent",1965-07-23
"157","17","14","8","Shabby Little Hut","Bats",1965-07-23
"158","18","17","8","Ticket To Ride","Beatles",1965-07-23
"159","19","20","3","Oh No Not My Baby","Manfred Mann",1965-07-23
"160","20","16","8","Forget Domani","Connie Francis",1965-07-23
"161","1","4","7","World Of Our Own","Seekers",1965-07-30
"162","2","1","8","It’s Not Unusual","Tom Jones",1965-07-30
"163","3","2","9","I Need You","Rick Nelson",1965-07-30
"164","4","8","4","Crying In The Chapel","Elvis Presley",1965-07-30
"165","5","5","6","Long Live Love","Sandie Shaw",1965-07-30
"166","6","3","9","Under The Boardwalk","Rolling Stones",1965-07-30
"167","7","6","8","Catch The Wind","Donovan",1965-07-30
"168","8","9","5","Wonderful World","Herman’s Hermits",1965-07-30
"169","9","12","4","Here Comes The Night","Them",1965-07-30
"170","10","11","5","Little Lonely One","Tom Jones",1965-07-30
"171","11","15","2","Wooly Bully","Sam The Sham And The Pharaohs",1965-07-30
"172","12","7","9","Mrs Brown You’ve Got A Lovely Daughter","Herman’s Hermits",1965-07-30
"173","13","14","3","Tea And Trumpets","Norman Ruby Orchestra",1965-07-30
"174","14","13","7","Concrete And Clay","Unit Four Plus Two",1965-07-30
"175","15","New","1","Mr Tambourine Man","Byrds",1965-07-30
"176","16","10","9","Do The Clam","Elvis Presley",1965-07-30
"177","17","New","1","Ciao","Gene Rockwell",1965-07-30
"178","18","18","9","Ticket To Ride","Beatles",1965-07-30
"179","19","19","4","Oh No Not My Baby","Manfred Mann",1965-07-30
"180","20","New","1","Baby The Rain Must Fall","Glenn Yarbrough",1965-07-30
"181","1","4","5","Crying In The Chapel","Elvis Presley",1965-08-06
"182","2","1","8","World Of Our Own","Seekers",1965-08-06
"183","3","2","9","It’s Not Unusual","Tom Jones",1965-08-06
"184","4","5","7","Long Live Love","Sandie Shaw",1965-08-06
"185","5","8","6","Wonderful World","Herman’s Hermits",1965-08-06
"186","6","3","10","I Need You","Rick Nelson",1965-08-06
"187","7","6","10","Under The Boardwalk","Rolling Stones",1965-08-06
"188","8","11","3","Wooly Bully","Sam The Sham And The Pharaohs",1965-08-06
"189","9","9","5","Here Comes The Night","Them",1965-08-06
"190","10","7","9","Catch The Wind","Donovan",1965-08-06
"191","11","13","4","Tea And Trumpets","Norman Ruby Orchestra",1965-08-06
"192","12","15","2","Mr Tambourine Man","Byrds",1965-08-06
"193","13","10","6","Little Lonely One","Tom Jones",1965-08-06
"194","14","17","2","Ciao","Gene Rockwell",1965-08-06
"195","15","20","2","Baby The Rain Must Fall","Glenn Yarbrough",1965-08-06
"196","16","12","10","Mrs Brown You’ve Got A Lovely Daughter","Herman’s Hermits",1965-08-06
"197","17","New","1","Help","Beatles",1965-08-06
"198","18","14","8","Concrete And Clay","Unit Four Plus Two",1965-08-06
"199","19","16","10","Do The Clam","Elvis Presley",1965-08-06
"200","20","18","10","Ticket To Ride","Beatles",1965-08-06
"201","1","1","6","Crying In The Chapel","Elvis Presley",1965-08-13
"202","2","4","8","Long Live Love","Sandie Shaw",1965-08-13
"203","3","2","9","World Of Our Own","Seekers",1965-08-13
"204","4","8","4","Wooly Bully","Sam The Sham And The Pharaohs",1965-08-13
"205","5","5","7","Wonderful World","Herman’s Hermits",1965-08-13
"206","6","3","10","It’s Not Unusual","Tom Jones",1965-08-13
"207","7","12","3","Mr Tambourine Man","Byrds",1965-08-13
"208","8","14","3","Ciao","Gene Rockwell",1965-08-13
"209","9","15","3","Baby The Rain Must Fall","Glenn Yarbrough",1965-08-13
"210","10","11","5","Tea And Trumpets","Norman Ruby Orchestra",1965-08-13
"211","11","17","2","Help","Beatles",1965-08-13
"212","12","6","11","I Need You","Rick Nelson",1965-08-13
"213","13","7","11","Under The Boardwalk","Rolling Stones",1965-08-13
"214","14","9","6","Here Comes The Night","Them",1965-08-13
"215","15","10","10","Catch The Wind","Donovan",1965-08-13
"216","16","13","7","Little Lonely One","Tom Jones",1965-08-13
"217","17","New","1","(I Can’t Get No) Satisfaction","Rolling Stones",1965-08-13
"218","18","New","1","I’m Alive","Hollies",1965-08-13
"219","19","New","1","This Little Bird","Marianne Faithfull",1965-08-13
"220","20","16","11","Mrs Brown You’ve Got A Lovely Daughter","Herman’s Hermits",1965-08-13
"221","1","1","7","Crying In The Chapel","Elvis Presley",1965-08-20
"222","2","4","5","Wooly Bully","Sam The Sham And The Pharaohs",1965-08-20
"223","3","7","4","Mr Tambourine Man","Byrds",1965-08-20
"224","4","3","10","World Of Our Own","Seekers",1965-08-20
"225","5","8","4","Ciao","Gene Rockwell",1965-08-20
"226","6","2","9","Long Live Love","Sandie Shaw",1965-08-20
"227","7","9","4","Baby The Rain Must Fall","Glenn Yarbrough",1965-08-20
"228","8","11","3","Help","Beatles",1965-08-20
"229","9","10","6","Tea And Trumpets","Norman Ruby Orchestra",1965-08-20
"230","10","6","11","It’s Not Unusual","Tom Jones",1965-08-20
"231","11","5","8","Wonderful World","Herman’s Hermits",1965-08-20
"232","12","17","2","(I Can’t Get No) Satisfaction","Rolling Stones",1965-08-20
"233","13","18","2","I’m Alive","Hollies",1965-08-20
"234","14","12","12","I Need You","Rick Nelson",1965-08-20
"235","15","13","12","Under The Boardwalk","Rolling Stones",1965-08-20
"236","16","14","7","Here Comes The Night","Them",1965-08-20
"237","17","New","1","Goodbye My Love","Murray Campbell",1965-08-20
"238","18","19","2","This Little Bird","Marianne Faithfull",1965-08-20
"239","19","15","11","Catch The Wind","Donovan",1965-08-20
"240","20","16","8","Little Lonely One","Tom Jones",1965-08-20
"241","1","3","5","Mr Tambourine Man","Byrds",1965-08-27
"242","2","8","4","Help","Beatles",1965-08-27
"243","3","7","5","Baby The Rain Must Fall","Glenn Yarbrough",1965-08-27
"244","4","5","5","Ciao","Gene Rockwell",1965-08-27
"245","5","1","8","Crying In The Chapel","Elvis Presley",1965-08-27
"246","6","2","6","Wooly Bully","Sam The Sham And The Pharaohs",1965-08-27
"247","7","4","11","World Of Our Own","Seekers",1965-08-27
"248","8","12","3","(I Can’t Get No) Satisfaction","Rolling Stones",1965-08-27
"249","9","13","3","I’m Alive","Hollies",1965-08-27
"250","10","6","10","Long Live Love","Sandie Shaw",1965-08-27
"251","11","17","2","Goodbye My Love","Murray Campbell",1965-08-27
"252","12","9","7","Tea And Trumpets","Norman Ruby Orchestra",1965-08-27
"253","13","10","12","It’s Not Unusual","Tom Jones",1965-08-27
"254","14","11","9","Wonderful World","Herman’s Hermits",1965-08-27
"255","15","14","13","I Need You","Rick Nelson",1965-08-27
"256","16","15","13","Under The Boardwalk","Rolling Stones",1965-08-27
"257","17","18","3","This Little Bird","Marianne Faithfull",1965-08-27
"258","18","16","8","Here Comes The Night","Them",1965-08-27
"259","19","New","1","Tossing And Turning","Ivy League",1965-08-27
"260","20","New","1","Pearly Shells","Pat Boone",1965-08-27
"261","1","2","5","Help","Beatles",1965-09-03
"262","2","1","6","Mr Tambourine Man","Byrds",1965-09-03
"263","3","11","3","Goodbye My Love","Murray Campbell",1965-09-03
"264","4","4","6","Ciao","Gene Rockwell",1965-09-03
"265","5","8","4","(I Can’t Get No) Satisfaction","Rolling Stones",1965-09-03
"266","6","3","6","Baby The Rain Must Fall","Glenn Yarbrough",1965-09-03
"267","7","9","4","I’m Alive","Hollies",1965-09-03
"268","8","5","9","Crying In The Chapel","Elvis Presley",1965-09-03
"269","9","6","7","Wooly Bully","Sam The Sham And The Pharaohs",1965-09-03
"270","10","7","12","World Of Our Own","Seekers",1965-09-03
"271","11","19","2","Tossing And Turning","Ivy League",1965-09-03
"272","12","12","8","Tea And Trumpets","Norman Ruby Orchestra",1965-09-03
"273","13","20","2","Pearly Shells","Pat Boone",1965-09-03
"274","14","10","11","Long Live Love","Sandie Shaw",1965-09-03
"275","15","14","10","Wonderful World","Herman’s Hermits",1965-09-03
"276","16","15","14","I Need You","Rick Nelson",1965-09-03
"277","17","New","1","Catch Us If You Can","Dave Clark Five",1965-09-03
"278","18","17","4","This Little Bird","Marianne Faithfull",1965-09-03
"279","19","16","14","Under The Boardwalk","Rolling Stones",1965-09-03
"280","20","13","13","It’s Not Unusual","Tom Jones",1965-09-03
"281","1","3","4","Goodbye My Love","Murray Campbell",1965-09-10
"282","2","1","6","Help","Beatles",1965-09-10
"283","3","5","5","(I Can’t Get No) Satisfaction","Rolling Stones",1965-09-10
"284","4","2","7","Mr Tambourine Man","Byrds",1965-09-10
"285","5","4","7","Ciao","Gene Rockwell",1965-09-10
"286","6","7","5","I’m Alive","Hollies",1965-09-10
"287","7","6","7","Baby The Rain Must Fall","Glenn Yarbrough",1965-09-10
"288","8","11","3","Tossing And Turning","Ivy League",1965-09-10
"289","9","13","3","Pearly Shells","Pat Boone",1965-09-10
"290","10","8","10","Crying In The Chapel","Elvis Presley",1965-09-10
"291","11","9","8","Wooly Bully","Sam The Sham And The Pharaohs",1965-09-10
"292","12","10","13","World Of Our Own","Seekers",1965-09-10
"293","13","17","2","Catch Us If You Can","Dave Clark Five",1965-09-10
"294","14","12","9","Tea And Trumpets","Norman Ruby Orchestra",1965-09-10
"295","15","New","1","I’m Henry The Eighth, I Am","Herman’s Hermits",1965-09-10
"296","16","New","1","You’ve Got Your Troubles","Fortunes",1965-09-10
"297","17","15","11","Wonderful World","Herman’s Hermits",1965-09-10
"298","18","18","5","This Little Bird","Marianne Faithfull",1965-09-10
"299","19","16","15","I Need You","Rick Nelson",1965-09-10
"300","20","14","12","Long Live Love","Sandie Shaw",1965-09-10
"301","1","1","5","Goodbye My Love","Murray Campbell",1965-09-17
"302","2","3","6","(I Can’t Get No) Satisfaction","Rolling Stones",1965-09-17
"303","3","2","7","Help","Beatles",1965-09-17
"304","4","4","8","Mr Tambourine Man","Byrds",1965-09-17
"305","5","6","6","I’m Alive","Hollies",1965-09-17
"306","6","8","4","Tossing And Turning","Ivy League",1965-09-17
"307","7","5","8","Ciao","Gene Rockwell",1965-09-17
"308","8","9","4","Pearly Shells","Pat Boone",1965-09-17
"309","9","7","8","Baby The Rain Must Fall","Glenn Yarbrough",1965-09-17
"310","10","13","3","Catch Us If You Can","Dave Clark Five",1965-09-17
"311","11","11","9","Wooly Bully","Sam The Sham And The Pharaohs",1965-09-17
"312","12","10","11","Crying In The Chapel","Elvis Presley",1965-09-17
"313","13","12","14","World Of Our Own","Seekers",1965-09-17
"314","14","16","2","You’ve Got Your Troubles","Fortunes",1965-09-17
"315","15","New","1","Goodbye My Love","Virginia Lee & Murray Campbell",1965-09-17
"316","16","14","10","Tea And Trumpets","Norman Ruby Orchestra",1965-09-17
"317","17","15","2","I’m Henry The Eighth, I Am","Herman’s Hermits",1965-09-17
"318","18","New","1","Goodbye My Love","Nini Rosso",1965-09-17
"319","19","19","16","I Need You","Rick Nelson",1965-09-17
"320","20","18","6","This Little Bird","Marianne Faithfull",1965-09-17
"321","1","1","6","Goodbye My Love","Murray Campbell",1965-09-24
"322","2","2","7","(I Can’t Get No) Satisfaction","Rolling Stones",1965-09-24
"323","3","5","7","I’m Alive","Hollies",1965-09-24
"324","4","6","5","Tossing And Turning","Ivy League",1965-09-24
"325","5","4","9","Mr Tambourine Man","Byrds",1965-09-24
"326","6","8","5","Pearly Shells","Pat Boone",1965-09-24
"327","7","3","8","Help","Beatles",1965-09-24
"328","8","10","4","Catch Us If You Can","Dave Clark Five",1965-09-24
"329","9","14","3","You’ve Got Your Troubles","Fortunes",1965-09-24
"330","10","7","9","Ciao","Gene Rockwell",1965-09-24
"331","11","15","2","Goodbye My Love","Virginia Lee & Murray Campbell",1965-09-24
"332","12","11","10","Wooly Bully","Sam The Sham And The Pharaohs",1965-09-24
"333","13","9","9","Baby The Rain Must Fall","Glenn Yarbrough",1965-09-24
"334","14","12","12","Crying In The Chapel","Elvis Presley",1965-09-24
"335","15","13","15","World Of Our Own","Seekers",1965-09-24
"336","16","18","2","Goodbye My Love","Nini Rosso",1965-09-24
"337","17","17","3","I’m Henry The Eighth, I Am","Herman’s Hermits",1965-09-24
"338","18","New","1","What’s New Pussycat","Tom Jones",1965-09-24
"339","19","19","17","I Need You","Rick Nelson",1965-09-24
"340","20","New","1","Unchained Melody","Righteous Brothers",1965-09-24
"341","1","2","8","(I Can’t Get No) Satisfaction","Rolling Stones",1965-10-01
"342","2","1","7","Goodbye My Love","Murray Campbell",1965-10-01
"343","3","3","8","I’m Alive","Hollies",1965-10-01
"344","4","4","6","Tossing And Turning","Ivy League",1965-10-01
"345","5","6","6","Pearly Shells","Pat Boone",1965-10-01
"346","6","8","5","Catch Us If You Can","Dave Clark Five",1965-10-01
"347","7","9","4","You’ve Got Your Troubles","Fortunes",1965-10-01
"348","8","7","9","Help","Beatles",1965-10-01
"349","9","5","10","Mr Tambourine Man","Byrds",1965-10-01
"350","10","11","3","Goodbye My Love","Virginia Lee & Murray Campbell",1965-10-01
"351","11","18","2","What’s New Pussycat","Tom Jones",1965-10-01
"352","12","10","10","Ciao","Gene Rockwell",1965-10-01
"353","13","12","11","Wooly Bully","Sam The Sham And The Pharaohs",1965-10-01
"354","14","16","3","Goodbye My Love","Nini Rosso",1965-10-01
"355","15","20","2","Unchained Melody","Righteous Brothers",1965-10-01
"356","16","15","16","World Of Our Own","Seekers",1965-10-01
"357","17","13","10","Baby The Rain Must Fall","Glenn Yarbrough",1965-10-01
"358","18","New","1","I Got You Babe","Sonny And Cher",1965-10-01
"359","19","New","1","Ju Ju Hands","Sam The Sham And The Pharaohs",1965-10-01
"360","20","14","13","Crying In The Chapel","Elvis Presley",1965-10-01
"361","1","2","8","Goodbye My Love","Murray Campbell",1965-10-08
"362","2","1","9","(I Can’t Get No) Satisfaction","Rolling Stones",1965-10-08
"363","3","5","7","Pearly Shells","Pat Boone",1965-10-08
"364","4","4","7","Tossing And Turning","Ivy League",1965-10-08
"365","5","3","9","I’m Alive","Hollies",1965-10-08
"366","6","6","6","Catch Us If You Can","Dave Clark Five",1965-10-08
"367","7","11","3","What’s New Pussycat","Tom Jones",1965-10-08
"368","8","8","10","Help","Beatles",1965-10-08
"369","9","7","5","You’ve Got Your Troubles","Fortunes",1965-10-08
"370","10","10","4","Goodbye My Love","Virginia Lee & Murray Campbell",1965-10-08
"371","11","15","3","Unchained Melody","Righteous Brothers",1965-10-08
"372","12","9","11","Mr Tambourine Man","Byrds",1965-10-08
"373","13","12","11","Ciao","Gene Rockwell",1965-10-08
"374","14","13","12","Wooly Bully","Sam The Sham And The Pharaohs",1965-10-08
"375","15","14","4","Goodbye My Love","Nini Rosso",1965-10-08
"376","16","18","2","I Got You Babe","Sonny And Cher",1965-10-08
"377","17","New","1","California Girls","Beach Boys",1965-10-08
"378","18","New","1","She","Glenn Yarbrough",1965-10-08
"379","19","19","2","Ju Ju Hand","Sam The Sham And The Pharaohs",1965-10-08
"380","20","17","11","Baby The Rain Must Fall","Glenn Yarbrough",1965-10-08
"381","1","1","9","Goodbye My Love","Murray Campbell",1965-10-15
"382","2","4","8","Tossing And Turning","Ivy League",1965-10-15
"383","3","2","10","(I Can’t Get No) Satisfaction","Rolling Stones",1965-10-15
"384","4","7","4","What’s New Pussycat","Tom Jones",1965-10-15
"385","5","6","7","Catch Us If You Can","Dave Clark Five",1965-10-15
"386","6","3","8","Pearly Shells","Pat Boone",1965-10-15
"387","7","5","10","I’m Alive","Hollies",1965-10-15
"388","8","11","4","Unchained Melody","Righteous Brothers",1965-10-15
"389","9","9","6","You’ve Got Your Troubles","Fortunes",1965-10-15
"390","10","8","11","Help","Beatles",1965-10-15
"391","11","17","2","California Girls","Beach Boys",1965-10-15
"392","12","10","5","Goodbye My Love","Virginia Lee & Murray Campbell",1965-10-15
"393","13","16","3","I Got You Babe","Sonny And Cher",1965-10-15
"394","14","18","2","She","Glenn Yarbrough",1965-10-15
"395","15","12","12","Mr Tambourine Man","Byrds",1965-10-15
"396","16","14","13","Wooly Bully","Sam The Sham And The Pharaohs",1965-10-15
"397","17","15","5","Goodbye My Love","Nini Rosso",1965-10-15
"398","18","New","1","Look Through Any Window","Hollies",1965-10-15
"399","19","New","1","Down In The Boondocks","Billy Joe Royal",1965-10-15
"400","20","New","1","A Walk In The Black Forest","Horst Jankowski’s Orchestra",1965-10-15
"401","1","1","10","Goodbye My Love","Murray Campbell",1965-10-22
"402","2","4","5","What’s New Pussycat","Tom Jones",1965-10-22
"403","3","2","9","Tossing And Turning","Ivy League",1965-10-22
"404","4","3","11","(I Can’t Get No) Satisfaction","Rolling Stones",1965-10-22
"405","5","8","5","Unchained Melody","Righteous Brothers",1965-10-22
"406","6","5","8","Catch Us If You Can","Dave Clark Five",1965-10-22
"407","7","9","7","You’ve Got Your Troubles","Fortunes",1965-10-22
"408","8","11","3","California Girls","Beach Boys",1965-10-22
"409","9","6","9","Pearly Shells","Pat Boone",1965-10-22
"410","10","7","11","I’m Alive","Hollies",1965-10-22
"411","11","12","6","Goodbye My Love","Virginia Lee & Murray Campbell",1965-10-22
"412","12","13","4","I Got You Babe","Sonny And Cher",1965-10-22
"413","13","14","3","She","Glenn Yarbrough",1965-10-22
"414","14","10","12","Help","Beatles",1965-10-22
"415","15","18","2","Look Through Any Window","Hollies",1965-10-22
"416","16","20","2","A Walk In The Black Forest","Horst Jankowski’s Orchestra",1965-10-22
"417","17","19","2","Down In The Boondocks","Billy Joe Royal",1965-10-22
"418","18","16","14","Wooly Bully","Sam The Sham And The Pharaohs",1965-10-22
